timestamp,date,time,source,total_objects,object_names,image_path
2026-06-07T17:29:12.107483,2026-06-07,17:29:12,webcam,1,person,output/object\webcam_detect_20260607_172912_0915.jpg
2026-06-07T17:35:27.893767,2026-06-07,17:35:27,webcam,1,person,output/object\webcam_detect_20260607_173527_8894.jpg
2026-06-07T17:35:30.938465,2026-06-07,17:35:30,webcam,1,person,output/object\webcam_detect_20260607_173530_9346.jpg
2026-06-07T17:35:34.199440,2026-06-07,17:35:34,webcam,1,person,output/object\webcam_detect_20260607_173534_1956.jpg
2026-06-07T17:35:37.242332,2026-06-07,17:35:37,webcam,1,person,output/object\webcam_detect_20260607_173537_2386.jpg
2026-06-07T17:35:40.399596,2026-06-07,17:35:40,webcam,1,person,output/object\webcam_detect_20260607_173540_3940.jpg
2026-06-07T17:35:43.485268,2026-06-07,17:35:43,webcam,1,person,output/object\webcam_detect_20260607_173543_4799.jpg
2026-06-07T17:35:46.531396,2026-06-07,17:35:46,webcam,1,person,output/object\webcam_detect_20260607_173546_5258.jpg
2026-06-07T17:35:49.726427,2026-06-07,17:35:49,webcam,1,person,output/object\webcam_detect_20260607_173549_7206.jpg
2026-06-07T17:35:52.903207,2026-06-07,17:35:52,webcam,1,person,output/object\webcam_detect_20260607_173552_8963.jpg
2026-06-07T17:35:55.919452,2026-06-07,17:35:55,webcam,2,person,output/object\webcam_detect_20260607_173555_9146.jpg
2026-06-07T17:35:58.962390,2026-06-07,17:35:58,webcam,1,person,output/object\webcam_detect_20260607_173558_9571.jpg
2026-06-07T17:36:02.228171,2026-06-07,17:36:02,webcam,1,person,output/object\webcam_detect_20260607_173602_2229.jpg
2026-06-07T17:36:05.298194,2026-06-07,17:36:05,webcam,1,person,output/object\webcam_detect_20260607_173605_2926.jpg
2026-06-07T17:36:09.180317,2026-06-07,17:36:09,webcam,1,person,output/object\webcam_detect_20260607_173609_1747.jpg
2026-06-07T17:39:53.569302,2026-06-07,17:39:53,webcam,1,person,output/object\webcam_detect_20260607_173953_5622.jpg
2026-06-07T17:39:57.100949,2026-06-07,17:39:57,webcam,1,person,output/object\webcam_detect_20260607_173957_0945.jpg
2026-06-07T17:40:00.124496,2026-06-07,17:40:00,webcam,1,person,output/object\webcam_detect_20260607_174000_1178.jpg
2026-06-07T17:40:03.136593,2026-06-07,17:40:03,webcam,1,person,output/object\webcam_detect_20260607_174003_1299.jpg
2026-06-07T17:40:06.369922,2026-06-07,17:40:06,webcam,2,"person, cell phone",output/object\webcam_detect_20260607_174006_3643.jpg
2026-06-07T17:40:09.919715,2026-06-07,17:40:09,webcam,1,person,output/object\webcam_detect_20260607_174009_9120.jpg
2026-06-07T17:40:43.210914,2026-06-07,17:40:43,webcam,1,person,output/object\webcam_detect_20260607_174043_2039.jpg
